id	sexo	fechnac	educ	catlab	salario	salini	tiempemp	expprev
3	2	7/26/1929	12	1	21450	12000	98	381
4	2	4/15/1947	8	1	21900	13200	98	190
8	2	5/6/1966	12	1	21900	9750	98	0
9	2	1/23/1946	15	1	27900	12750	98	115
10	2	2/13/1946	12	1	24000	13500	98	244
11	2	2/7/1950	16	1	30300	16500	98	143
14	2	2/26/1949	15	1	35100	16800	98	137
20	2	1/23/1940	12	1	26250	11550	97	48
21	2	2/19/1963	16	1	38850	15000	97	17
23	2	3/15/1965	15	1	24000	11100	97	75
24	2	3/27/1933	12	1	16950	9000	97	124
25	2	7/1/1942	15	1	21150	9000	97	171
36	2	8/7/1963	8	1	31350	11250	96	52
40	2	8/28/1933	15	1	19200	9000	96	23
41	2	3/18/1961	12	1	23550	11550	96	52
46	2	11/18/1940	15	1	22350	12750	95	165
47	2	4/28/1938	12	1	30000	16500	95	228
58	2	11/14/1964	15	1	26400	13500	94	3
72	2	1/7/1964	16	1	54000	18000	93	11
73	2	2/9/1968	12	1	26400	10500	93	0
74	2	4/28/1933	15	1	33900	19500	93	192
75	2	8/12/1965	15	1	24150	11550	93	0
76	2	9/3/1967	15	1	29250	11550	93	11
77	2	9/9/1968	12	1	27600	11400	93	6
78	2	8/20/1968	12	1	22950	10500	93	10
79	2	1/23/1962	16	1	34800	14550	93	8
80	2	5/25/1961	16	1	51000	18000	93	22
81	2	3/12/1968	12	1	24300	10950	93	5
82	2	8/28/1947	12	1	24750	14250	93	193
83	2	10/12/1967	12	1	22950	11250	93	0
84	2	3/12/1967	8	1	25050	10950	93	8
90	2	2/27/1938	8	1	16200	9750	92	0
91	2	11/4/1967	12	1	20100	11250	92	24
92	2	6/25/1968	8	1	24000	10950	92	6
93	2	3/5/1968	12	1	25950	10950	92	0
94	2	8/4/1950	12	1	24600	10050	92	44
95	2	8/8/1968	12	1	28500	10500	92	6
99	2	7/7/1968	12	1	22050	10950	92	5
107	2	8/16/1960	12	1	25200	14400	91	83
108	2	7/16/1930	12	1	21000	11550	91	108
117	2	1/14/1932	12	1	31500	18750	90	205
118	2	3/4/1964	12	1	31650	14250	90	48
119	2	7/23/1963	12	1	25200	14100	90	55
120	2	11/12/1964	16	3	37800	15750	90	7
121	2	8/6/1936	15	1	18750	10500	90	54
122	2	9/26/1965	15	1	32550	13500	90	22
123	2	4/24/1949	12	1	33300	15000	90	3
124	2	5/29/1963	16	1	38550	16500	90	0
128	2	7/25/1946	12	1	19650	9750	90	229
134	2	11/10/1941	16	3	41550	24990	89	285
135	2	5/22/1968	12	1	26250	10950	89	0
139	2	6/18/1931	8	1	20100	13200	88	90
140	2	4/5/1965	12	1	22350	13500	88	26
141	2	6/14/1966	15	1	35550	13350	88	32
142	2	11/13/1966	12	1	28500	13950	88	34
143	2	8/24/1939	12	1	24450	13200	88	107
144	2	8/28/1931	8	1	16650	9750	88	412
148	2	10/5/1959	15	1	26550	14250	88	61
153	2	5/13/1967	12	1	26700	12900	87	18
154	2	6/7/1940	12	1	20850	12000	87	163
157	2	7/2/1967	12	1	26550	13050	87	11
158	2	9/20/1964	12	1	27750	12000	87	11
159	2	1/13/1951	16	1	25050	12750	87	123
164	2	8/13/1965	15	1	29400	16500	86	24
165	2	4/29/1966	15	1	33300	13500	86	24
166	2	7/12/1942	12	1	21900	9750	86	156
167	2	8/26/1932	12	1	18150	9750	86	72
168	2	4/23/1962	16	3	46875	17250	86	19
172	2	6/13/1953	15	1	29850	15000	86	79
176	2	10/5/1962	16	1	35700	17250	85	19
177	2	8/11/1962	12	1	28500	16500	85	69
178	2	1/17/1938	12	1	17100	10200	85	72
180	2	1/23/1960	12	1	24000	12750	85	59
181	2	1/4/1939	12	1	27450	10200	85	101
182	2	3/8/1943	12	1	18450	10200	85	228
188	2	2/4/1934	12	1	34500	18750	84	208
189	2	3/28/1950	12	1	36000	19980	84	240
190	2	11/15/1932	8	1	29100	16500	84	35
191	2	10/23/1931	12	1	16500	10200	84	288
193	2	7/22/1966	12	1	24750	12000	84	41
194	2	4/10/1938	15	1	27150	15750	84	231
195	2	11/6/1955	12	1	26400	12750	84	36
196	2	3/3/1946	16	1	23100	12000	84	214
208	2	11/28/1968	12	1	24000	11250	83	16
209	2	1/14/1934	8	1	19800	10200	83	75
214	2	9/13/1968	12	1	20400	10950	83	9
215	2	9/15/1968	12	1	19200	11100	83	7
221	2	5/22/1947	12	1	24000	13800	82	97
222	2	9/15/1935	15	1	27750	19500	82	265
223	2	3/14/1942	8	1	22350	10200	82	48
224	2	11/20/1934	12	1	16200	10200	82	0
225	2	10/13/1967	15	1	21900	12750	82	0
226	2	6/21/1964	16	1	23250	15750	82	4
227	2	7/17/1965	12	1	33900	12000	82	11
228	2	9/21/1963	15	1	25650	14250	82	51
229	2	8/21/1940	12	1	17250	10200	82	358
236	2	5/2/1969	8	1	27450	12000	81	9
